Milliseconds,X,Y,Z
2281,-0.083799616,-0.117319465,9.601042
2291,-0.07422252,-0.117319465,9.58907
2301,-0.05506832,-0.12450229,9.584282
2311,-0.045491222,-0.117319465,9.603436
2321,-0.052674048,-0.117319465,9.61062
2331,-0.035914123,-0.14126222,9.634562
2341,-0.026337024,-0.14126222,9.632168
2352,-0.035914123,-0.117319465,9.62259
2361,-0.031125572,-0.15562786,9.632168
2371,-0.016759925,-0.15802214,9.61062
2381,-0.038308397,-0.12929083,9.629773
2391,-0.038308397,-0.12689656,9.629773
2401,-0.057462595,-0.12689656,9.593859
2411,-0.043096945,-0.12450229,9.596253
2421,-0.062251143,-0.117319465,9.593859
2431,-0.071828246,-0.117319465,9.620196
2441,-0.06943397,-0.11971374,9.586677
2451,-0.057462595,-0.11971374,9.60583
2462,-0.05985687,-0.11253092,9.598648
2471,-0.031125572,-0.117319465,9.629773
2481,-0.035914123,-0.117319465,9.62259
2491,-0.026337024,-0.11492519,9.624985
2501,-0.021548472,-0.12450229,9.62259
2511,-0.014365649,-0.14126222,9.624985
2521,-0.035914123,-0.12689656,9.624985
2531,-0.04070267,-0.13647367,9.627379
2541,-0.028731298,-0.11971374,9.62259
2551,-0.05506832,-0.117319465,9.613013
2562,-0.062251143,-0.117319465,9.598648
2571,-0.062251143,-0.117319465,9.581888
2581,-0.057462595,-0.117319465,9.596253
2591,-0.0670397,-0.117319465,9.598648
2601,-0.05506832,-0.12450229,9.586677
2612,-0.038308397,-0.12929083,9.61062
2621,-0.035914123,-0.13647367,9.636956
2631,-0.014365649,-0.16759923,9.653716
2641,-0.04070267,-0.15083931,9.624985
2651,-0.05027977,-0.18196489,9.620196
2661,-0.021548472,-0.15323359,9.615408
2671,-0.031125572,-0.13647367,9.636956
2681,-0.043096945,-0.11971374,9.62259
2691,-0.04070267,-0.12450229,9.624985
2702,-0.071828246,-0.11492519,9.60583
2711,-0.052674048,-0.117319465,9.601042
2721,-0.045491222,-0.117319465,9.624985
2731,-0.06943397,-0.11492519,9.60583
2741,-0.047885496,-0.11253092,9.613013
2751,-0.05027977,-0.12929083,9.591465
2761,-0.057462595,-0.12450229,9.61062
2771,-0.05027977,-0.11971374,9.62259
2781,-0.023942748,-0.14126222,9.627379
2791,-0.019154198,-0.13647367,9.62259
2801,-0.035914123,-0.11971374,9.620196
2812,-0.03351985,-0.13647367,9.629773
2821,-0.021548472,-0.117319465,9.617802
2831,-0.023942748,-0.11971374,9.60583
2841,-0.052674048,-0.117319465,9.60583
2851,-0.043096945,-0.117319465,9.653716
2861,-0.062251143,-0.12210801,9.596253
2871,-0.04070267,-0.12450229,9.598648
2881,-0.057462595,-0.13886794,9.593859
2891,-0.043096945,-0.11971374,9.624985
2902,-0.05027977,-0.11971374,9.613013
2911,-0.047885496,-0.117319465,9.60583
2921,-0.028731298,-0.13886794,9.63935
2931,-0.019154198,-0.13647367,9.636956
2941,-0.035914123,-0.12210801,9.624985
2951,-0.045491222,-0.13647367,9.648928
2961,-0.035914123,-0.15802214,9.63935
2971,-0.031125572,-0.1340794,9.634562
2981,-0.045491222,-0.12450229,9.624985
2992,-0.043096945,-0.12210801,9.624985
3001,-0.047885496,-0.11971374,9.62259
3011,-0.052674048,-0.12210801,9.61062
3021,-0.05027977,-0.12210801,9.598648
3031,-0.062251143,-0.117319465,9.608225
3041,-0.057462595,-0.117319465,9.603436
3051,-0.052674048,-0.117319465,9.61062
3061,-0.045491222,-0.13647367,9.620196
3071,-0.03351985,-0.117319465,9.624985
3082,-0.035914123,-0.117319465,9.629773
3091,-0.03351985,-0.12689656,9.62259
3101,-0.038308397,-0.117319465,9.620196
3111,-0.021548472,-0.13168511,9.63935
3121,-0.031125572,-0.13647367,9.608225
3131,-0.05027977,-0.117319465,9.613013
3141,-0.038308397,-0.11492519,9.615408
3151,-0.03351985,-0.117319465,9.646533
3161,-0.045491222,-0.117319465,9.617802
3171,-0.062251143,-0.11492519,9.601042
3182,-0.0670397,-0.12450229,9.62259
3191,-0.03351985,-0.12929083,9.617802
3201,-0.03351985,-0.12210801,9.608225
3211,-0.031125572,-0.13168511,9.624985
3221,-0.021548472,-0.12689656,9.608225
3231,-0.028731298,-0.15802214,9.63935
3241,-0.031125572,-0.1699935,9.651321
3251,-0.028731298,-0.13886794,9.636956
3261,-0.038308397,-0.13886794,9.615408
3272,-0.038308397,-0.14605077,9.641745
3281,-0.0670397,-0.117319465,9.617802
3291,-0.035914123,-0.11971374,9.598648
3301,-0.045491222,-0.11492519,9.63935
3311,-0.052674048,-0.11253092,9.593859
3322,-0.047885496,-0.117319465,9.613013
3331,-0.038308397,-0.11492519,9.627379
3342,-0.062251143,-0.14126222,9.593859
3351,-0.04070267,-0.11971374,9.617802
3361,-0.035914123,-0.117319465,9.629773
3372,-0.045491222,-0.12210801,9.613013
3381,-0.021548472,-0.1340794,9.632168
3392,-0.035914123,-0.14365649,9.608225
3401,-0.014365649,-0.14605077,9.632168
3412,-0.035914123,-0.14126222,9.620196
3421,-0.052674048,-0.12450229,9.601042
3432,-0.05027977,-0.11971374,9.632168
3441,-0.043096945,-0.117319465,9.629773
3451,-0.038308397,-0.12929083,9.632168
3461,-0.05506832,-0.117319465,9.617802
3472,-0.052674048,-0.13647367,9.598648
3481,-0.016759925,-0.13886794,9.60583
3491,-0.05985687,-0.12210801,9.601042
3501,-0.05506832,-0.12210801,9.61062
3512,-0.045491222,-0.12210801,9.617802
3521,-0.06464542,-0.117319465,9.613013
3532,-0.038308397,-0.117319465,9.620196
3541,-0.043096945,-0.11971374,9.634562
3551,-0.05027977,-0.117319465,9.615408
3562,-0.03351985,-0.14126222,9.620196
3571,-0.047885496,-0.117319465,9.608225
3582,-0.035914123,-0.117319465,9.60583
3591,-0.05027977,-0.117319465,9.603436
3601,-0.026337024,-0.15802214,9.615408
3612,-0.052674048,-0.11971374,9.586677
3621,-0.05027977,-0.11971374,9.603436
3631,-0.04070267,-0.11253092,9.62259
3641,-0.04070267,-0.11971374,9.615408
3652,-0.043096945,-0.117319465,9.615408
3661,-0.03351985,-0.117319465,9.620196
3671,-0.04070267,-0.11492519,9.624985
3681,-0.045491222,-0.12689656,9.634562
3692,-0.023942748,-0.13886794,9.613013
3701,-0.026337024,-0.15323359,9.601042
3711,-0.043096945,-0.1340794,9.624985
3721,-0.03351985,-0.13647367,9.613013
3731,-0.043096945,-0.117319465,9.624985
3742,-0.05027977,-0.117319465,9.636956
3751,-0.052674048,-0.11971374,9.617802
3762,-0.057462595,-0.117319465,9.596253
3771,-0.043096945,-0.117319465,9.61062
3782,-0.045491222,-0.117319465,9.60583
3791,-0.05506832,-0.117319465,9.61062
3801,-0.05985687,-0.11492519,9.601042
3812,-0.062251143,-0.117319465,9.598648
3821,-0.043096945,-0.15802214,9.624985
3831,-0.028731298,-0.12450229,9.620196
3842,-0.0670397,-0.117319465,9.62259
3851,-0.038308397,-0.14126222,9.62259
3861,-0.016759925,-0.14126222,9.634562
3872,-0.04070267,-0.11971374,9.62259
3881,-0.0670397,-0.11971374,9.60583
3891,-0.038308397,-0.117319465,9.615408
3902,-0.06464542,-0.11971374,9.584282
3911,-0.035914123,-0.117319465,9.608225
3921,-0.04070267,-0.117319465,9.624985
3932,-0.047885496,-0.117319465,9.608225
3941,-0.031125572,-0.117319465,9.620196
3951,-0.047885496,-0.12689656,9.615408
3962,-0.019154198,-0.14844504,9.634562
3971,-0.045491222,-0.12210801,9.632168
3982,-0.052674048,-0.13168511,9.613013
3991,-0.035914123,-0.12450229,9.629773
4001,-0.05506832,-0.12450229,9.591465
4012,-0.043096945,-0.11013664,9.617802
4021,-0.05027977,-0.11253092,9.613013
4032,-0.05027977,-0.117319465,9.629773
4041,-0.0670397,-0.11253092,9.591465
4051,-0.0670397,-0.117319465,9.601042
4061,-0.043096945,-0.12929083,9.613013
4071,-0.04070267,-0.12210801,9.615408
4081,-0.043096945,-0.13886794,9.620196
4091,-0.035914123,-0.14126222,9.61062
4101,-0.023942748,-0.15562786,9.632168
4112,-0.045491222,-0.13647367,9.62259
4121,-0.038308397,-0.117319465,9.627379
4131,-0.052674048,-0.11492519,9.617802
4142,-0.052674048,-0.11492519,9.632168
4151,-0.038308397,-0.117319465,9.632168
4161,-0.045491222,-0.117319465,9.62259
4171,-0.057462595,-0.117319465,9.617802
4181,-0.05027977,-0.117319465,9.61062
4192,-0.05027977,-0.117319465,9.615408
4201,-0.045491222,-0.12450229,9.620196
4211,-0.04070267,-0.13647367,9.608225
4221,-0.057462595,-0.117319465,9.608225
4231,-0.028731298,-0.1340794,9.620196
4242,-0.06464542,-0.117319465,9.62259
4251,-0.045491222,-0.11971374,9.632168
4261,-0.045491222,-0.11492519,9.620196
4272,-0.05027977,-0.11492519,9.629773
4281,-0.045491222,-0.117319465,9.608225
4291,-0.05027977,-0.1340794,9.61062
4302,-0.05506832,-0.117319465,9.593859
4311,-0.045491222,-0.117319465,9.593859
4321,-0.04070267,-0.12210801,9.624985
4332,-0.021548472,-0.14605077,9.596253
4341,-0.04070267,-0.14126222,9.624985
4351,-0.035914123,-0.12450229,9.629773
4362,-0.035914123,-0.12929083,9.615408
4371,-0.035914123,-0.117319465,9.617802
4382,-0.05027977,-0.117319465,9.636956
4391,-0.038308397,-0.12210801,9.613013
4401,-0.04070267,-0.117319465,9.617802
4411,-0.03351985,-0.12210801,9.608225
4421,-0.016759925,-0.12450229,9.629773
4432,-0.047885496,-0.13168511,9.615408
4441,-0.043096945,-0.117319465,9.60583
4451,-0.062251143,-0.117319465,9.61062
4461,-0.047885496,-0.11013664,9.629773
4472,-0.04070267,-0.12450229,9.617802
4481,-0.038308397,-0.11971374,9.598648
4491,-0.057462595,-0.117319465,9.603436
4502,-0.05985687,-0.098165266,9.603436
4511,-0.038308397,-0.08140534,9.624985
4521,-0.019154198,-0.083799616,9.617802
4532,-0.05027977,-0.18196489,9.584282
4541,-0.028731298,-0.21787901,9.60583
4551,-0.052674048,-0.26097596,9.624985
4562,-0.05985687,-0.24182175,9.636956
4571,-0.016759925,-0.21548474,9.624985
4581,-0.011971374,-0.18196489,9.641745
4591,-0.0071828244,-0.15562786,9.613013
4602,-0.031125572,-0.08858817,9.62259
4611,-0.0023942748,-0.05985687,9.613013
4621,-0.014365649,-0.043096945,9.620196
4632,-0.031125572,-0.06464542,9.586677
4641,-0.03351985,-0.076616794,9.608225
4651,-0.05506832,-0.08140534,9.632168
4662,-0.083799616,-0.117319465,9.593859
4671,-0.08140534,-0.13886794,9.617802
4681,-0.090982445,-0.18675344,9.613013
4692,-0.035914123,-0.2083019,9.632168
4701,-0.038308397,-0.18435916,9.60583
4711,-0.031125572,-0.19393626,9.62259
4721,-0.014365649,-0.17957062,9.63935
4732,-0.03351985,-0.1699935,9.61062
4741,-0.011971374,-0.14844504,9.63935
4751,-0.031125572,-0.13168511,9.627379
4762,-0.04070267,-0.12210801,9.636956
4771,-0.07901107,-0.09577099,9.615408
4781,-0.076616794,-0.090982445,9.60583
4791,-0.052674048,-0.08858817,9.62259
4802,-0.052674048,-0.102953814,9.361614
4811,-0.043096945,-0.090982445,9.629773
4821,-0.045491222,-0.105348095,9.715967
4831,-0.019154198,-0.11492519,9.634562
4841,-0.0023942748,-0.14844504,9.608225
4852,-0.019154198,-0.1987248,9.624985
4861,-0.03351985,-0.18914771,9.632168
4871,-0.019154198,-0.22745611,9.615408
4881,-0.021548472,-0.17957062,9.636956
4891,-0.031125572,-0.14844504,9.668081
4901,-0.0670397,-0.11253092,9.593859
4911,-0.06464542,-0.09337672,9.58907
4922,-0.05506832,-0.05985687,9.555551
4931,-0.052674048,-0.0670397,9.550762
4942,-0.05506832,-0.07422252,9.593859
4951,-0.062251143,-0.06943397,9.632168
4961,-0.06943397,-0.11492519,9.601042
4971,-0.028731298,-0.14844504,9.613013
4981,-0.043096945,-0.17957062,9.62259
4992,-0.0047885496,-0.20351335,9.620196
5001,0.009577099,-0.24421602,9.601042
5011,0.0023942748,-0.22745611,9.629773
5021,0.009577099,-0.22745611,9.593859
5032,-0.028731298,-0.17238778,9.620196
5041,-0.021548472,-0.14844504,9.62259
5051,-0.052674048,-0.11013664,9.617802
5061,-0.062251143,-0.090982445,9.615408
5071,-0.07422252,-0.06943397,9.613013
5081,-0.076616794,-0.047885496,9.596253
5092,-0.057462595,-0.062251143,9.603436
