Milliseconds,X,Y,Z,cos,headingAccuracy
26101,-0.178546,-0.501396,-0.378925,0.757058,246.0
26202,-0.178405,-0.50137,-0.378946,0.757099,246.0
26302,-0.1782,-0.501383,-0.378952,0.757135,246.0
26401,-0.17825,-0.50142,-0.378925,0.757112,246.0
26502,-0.178252,-0.501646,-0.378875,0.756987,246.0
26601,-0.178142,-0.501577,-0.378865,0.757064,246.0
26701,-0.178063,-0.5016,-0.378701,0.757149,246.0
26801,-0.177938,-0.501441,-0.378821,0.757224,246.0
26902,-0.177976,-0.501481,-0.378784,0.757207,246.0
27001,-0.177982,-0.501766,-0.378737,0.75704,246.0
27101,-0.17798,-0.501647,-0.378695,0.75714,246.0
27201,-0.178055,-0.501608,-0.37879,0.757101,246.0
27301,-0.177982,-0.501738,-0.378756,0.757049,246.0
27402,-0.177761,-0.501585,-0.378781,0.75719,246.0
27501,-0.177546,-0.501793,-0.378856,0.757065,246.0
27601,-0.177589,-0.501672,-0.37884,0.757143,246.0
27702,-0.177756,-0.501519,-0.378813,0.757219,246.0
27801,-0.177617,-0.501652,-0.378862,0.757139,246.0
27901,-0.17763,-0.50156,-0.378903,0.757176,246.0
28001,-0.17763,-0.501594,-0.378942,0.757134,246.0
28102,-0.177431,-0.501759,-0.378791,0.757147,246.0
28201,-0.177651,-0.501654,-0.378884,0.757118,246.0
28304,-0.177954,-0.501804,-0.37875,0.757016,246.0
28402,-0.177786,-0.501756,-0.378668,0.757127,246.0
28501,-0.178064,-0.501639,-0.378632,0.757157,246.0
28601,-0.178344,-0.501679,-0.378651,0.757056,246.0
28701,-0.178363,-0.501611,-0.37859,0.757127,246.0
28802,-0.17885,-0.501619,-0.378405,0.757099,246.0
28901,-0.178566,-0.50145,-0.37865,0.757155,246.0
29001,-0.178628,-0.501383,-0.378759,0.757131,246.0
29102,-0.178751,-0.501125,-0.378814,0.757245,246.0
29202,-0.178858,-0.50108,-0.378841,0.757236,246.0
29301,-0.178574,-0.501049,-0.378842,0.757323,246.0
29401,-0.178577,-0.5011,-0.378861,0.757279,246.0
29501,-0.17862,-0.500927,-0.378922,0.757353,246.0
29601,-0.178698,-0.501022,-0.378941,0.757262,246.0
29702,-0.178556,-0.501104,-0.378923,0.757251,246.0
29801,-0.178459,-0.501146,-0.378999,0.757207,246.0
29902,-0.178506,-0.501141,-0.379,0.757199,246.0
30001,-0.178581,-0.501114,-0.378973,0.757213,246.0
30101,-0.178486,-0.501091,-0.37896,0.757257,246.0
30201,-0.17858,-0.500998,-0.379111,0.75722,246.0
30301,-0.178655,-0.501252,-0.378977,0.757102,246.0
30404,-0.178452,-0.501189,-0.378911,0.757224,246.0
30502,-0.178652,-0.501167,-0.378822,0.757237,246.0
30601,-0.178524,-0.50112,-0.378934,0.757242,246.0
30701,-0.178607,-0.50107,-0.37893,0.757258,246.0
30801,-0.178674,-0.501035,-0.379116,0.757172,246.0
30902,-0.178779,-0.501005,-0.379086,0.757182,246.0
31001,-0.17857,-0.501134,-0.379135,0.757121,246.0
31101,-0.178529,-0.501147,-0.379022,0.757179,246.0
31202,-0.17865,-0.501012,-0.379212,0.757144,246.0
31301,-0.17882,-0.500982,-0.378981,0.75724,246.0
31402,-0.178788,-0.500897,-0.379179,0.757205,246.0
31501,-0.178622,-0.500979,-0.379141,0.757208,246.0
31602,-0.178473,-0.501114,-0.379207,0.757121,246.0
31702,-0.178296,-0.501324,-0.379005,0.757125,246.0
31801,-0.178283,-0.501325,-0.378962,0.757149,246.0
31901,-0.17812,-0.501321,-0.379095,0.757124,246.0
32001,-0.178195,-0.501404,-0.379014,0.757091,246.0
32102,-0.178015,-0.501506,-0.378891,0.757128,246.0
32201,-0.177926,-0.501329,-0.378962,0.75723,246.0
32301,-0.177959,-0.50139,-0.378862,0.757232,246.0
32402,-0.177959,-0.501496,-0.378815,0.757186,246.0
32501,-0.177875,-0.50149,-0.378806,0.757213,246.0
32601,-0.177927,-0.501635,-0.378483,0.757267,246.0
32701,-0.177446,-0.499628,-0.379563,0.758165,246.0
32802,-0.177773,-0.499588,-0.38014,0.757826,246.0
32901,-0.17794,-0.499814,-0.380104,0.757656,246.0
33001,-0.177915,-0.500111,-0.379976,0.75753,246.0
33101,-0.178046,-0.500295,-0.379947,0.757392,246.0
33202,-0.178103,-0.500343,-0.379794,0.757424,246.0
33301,-0.177914,-0.500409,-0.379657,0.757494,246.0
33402,-0.177774,-0.500537,-0.379567,0.757487,246.0
33501,-0.177918,-0.5006,-0.37969,0.75735,246.0
33602,-0.17795,-0.500666,-0.379529,0.75738,246.0
33701,-0.177787,-0.500609,-0.379527,0.757456,246.0
